Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
Ritonavir,D019438,,COVID-19,MESH:D000086382,therapeutic,CCL2|CCL3|CXCL10|CXCL8|IL6|IL7|TNF,19.69,7
Dactinomycin,D003609,50-76-0,COVID-19,MESH:D000086382,therapeutic,AGT|CCL2|CXCL8|IL10|IL1B|IL2|IL6|TNF,17.71,7
apilimod,C504227,,COVID-19,MESH:D000086382,therapeutic,CXCL8|IL10|IL6|TNF,16.63,7
Zinc Sulfate,D019287,7733-02-0,COVID-19,MESH:D000086382,therapeutic,CCL2|CCR2|CD209|CSF3|CXCL8|IL1B|IL2|IL6|TNF|UGCG,15.25,9
Azithromycin,D017963,83905-01-5,COVID-19,MESH:D000086382,therapeutic,CCL2|CXCL8|IL1B|IL6|TNF,15.23,6
lopinavir-ritonavir drug combination,C558899,,COVID-19,MESH:D000086382,therapeutic,CCL2|CXCL8|IL6,12.39,11
Emodin,D004642,518-82-1,COVID-19,MESH:D000086382,therapeutic,AGT|IL10|IL1B|IL6|TNF,11.54,7
camostat,C034532,,COVID-19,MESH:D000086382,therapeutic,CCL2|TMPRSS2|TNF,11.52,5
acalabrutinib,C000604908,,COVID-19,MESH:D000086382,therapeutic,CRP|IL6,10.26,5
Nifedipine,D009543,21829-25-4,COVID-19,MESH:D000086382,therapeutic,AGT|CCL2|CXCL8|IL1B|TNF,10.09,5
Tenofovir,D000068698,,COVID-19,MESH:D000086382,therapeutic,CXCL8|IL1B|TNF,9.64,4
chloroquine diphosphate,C023676,50-63-5,COVID-19,MESH:D000086382,therapeutic,CXCL8|IL1B|OAS1,8.28,8
Interferon-alpha,D016898,,COVID-19,MESH:D000086382,therapeutic,IL7|OAS1,8.12,4
Betulinic Acid,D000094062,,COVID-19,MESH:D000086382,therapeutic,IL6|TNF,5.89,6
"(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide",C520404,,COVID-19,MESH:D000086382,therapeutic,UGCG,5.54,1
Ivermectin,D007559,70288-86-7,COVID-19,MESH:D000086382,therapeutic,ATP11A|BSG|CCL2|CCL3|CRP|CXCL8|IL10|IL1B|IL6|LZTFL1|PLSCR1|TNF,5.19,11
baricitinib,C000596027,,COVID-19,MESH:D000086382,therapeutic,CCL2,3.91,3
Mercaptopurine,D015122,,COVID-19,MESH:D000086382,therapeutic,AGT,2.75,2
2019-nCoV Vaccine mRNA-1273,D000090983,,COVID-19,MESH:D000086382,therapeutic,,,1
(2-tert-butoxy-1-(2-cyclohexyl-1-(1-formyl-2-(2-oxopyrrolidin-3-yl)ethylcarbamoyl)ethylcarbamoyl)propyl)carbamic acid benzyl ester,C513370,,COVID-19,MESH:D000086382,therapeutic,,,1
4-(4-guanidinobenzoyloxy)phenylacetic acid,C045130,71079-09-9,COVID-19,MESH:D000086382,therapeutic,,,1
"5,5'-(5,5'-((1R,2R)-1,2-dihydroxyethane-1,2-diyl)bis(1,3,4-oxadiazole-5,2-diyl))dibenzene-1,2,3-triol",C000718387,,COVID-19,MESH:D000086382,therapeutic,,,1
Acetazolamide,D000086,59-66-5,COVID-19,MESH:D000086382,therapeutic,,,1
Antiviral Agents,D000998,,COVID-19,MESH:D000086382,therapeutic,,,1
BNT162 Vaccine,D000090982,,COVID-19,MESH:D000086382,therapeutic,,,1
cannabidiolic acid,C006884,1244-58-2,COVID-19,MESH:D000086382,therapeutic,,,1
cannabigerolic acid,C100679,25555-57-1,COVID-19,MESH:D000086382,therapeutic,,,1
cepharanthine,C006947,481-49-2,COVID-19,MESH:D000086382,therapeutic,,,1
favipiravir,C462182,,COVID-19,MESH:D000086382,therapeutic,,,1
galidesivir,C517546,,COVID-19,MESH:D000086382,therapeutic,,,1
"Heparin, Low-Molecular-Weight",D006495,,COVID-19,MESH:D000086382,therapeutic,,,1
IDX184,C557801,,COVID-19,MESH:D000086382,therapeutic,,,2
Mefloquine,D015767,53230-10-7,COVID-19,MESH:D000086382,therapeutic,,,1
molnupiravir,C000656703,,COVID-19,MESH:D000086382,therapeutic,,,1
N(4)-hydroxycytidine,C010737,,COVID-19,MESH:D000086382,therapeutic,,,1
nafamostat,C032855,81525-10-2,COVID-19,MESH:D000086382,therapeutic,,,1
plitidepsin,C098980,,COVID-19,MESH:D000086382,therapeutic,,,1
remdesivir,C000606551,,COVID-19,MESH:D000086382,therapeutic,,,12
rupintrivir,C118874,,COVID-19,MESH:D000086382,therapeutic,,,1
selamectin,C414354,,COVID-19,MESH:D000086382,therapeutic,,,1
setrobuvir,C000592794,,COVID-19,MESH:D000086382,therapeutic,,,1
Sofosbuvir,D000069474,,COVID-19,MESH:D000086382,therapeutic,,,2
Teicoplanin,D017334,61036-62-2,COVID-19,MESH:D000086382,therapeutic,,,1
Toremifene,D017312,89778-26-7,COVID-19,MESH:D000086382,therapeutic,,,1
umifenovir,C086979,,COVID-19,MESH:D000086382,therapeutic,,,5
coagulin-L,C000593591,,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|IL7|TNF,48.28,5
Alum Compounds,D000534,,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF,45.35,5
"FSL-1 lipoprotein, synthetic",C460864,,COVID-19,MESH:D000086382,,CCL2|CD209|CXCL10|CXCL8|IFNAR2|IL10|IL1B|IL6|TNF,44.98,7
Hemagglutinins,D006388,,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL8|IL10|IL1B|IL2|IL6|TNF,44.15,5
Pam(3)CSK(4) peptide,C508075,,COVID-19,MESH:D000086382,,CCL2|CSF3|CXCL10|CXCL8|IFNAR2|IL10|IL1B|IL2|IL6|TNF,44.07,6
Ovalbumin,D010047,9006-59-1,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CSF3|CXCL10|CXCL8|IL10|IL10RB|IL1B|IL2|IL2RA|IL6|IL7|MUC1|SELE|TNF|TYK2,41.74,7
Platelet Activating Factor,D010972,,COVID-19,MESH:D000086382,,AGT|CCL2|CCR2|CRP|CXCL8|IL1B|IL6|SELE|TNF,40.96,8
curdlan,C038459,54724-00-4,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CRP|CXCL10|IL10|IL10RB|IL1B|IL6|SELE|TNF,40.88,7
tofacitinib,C479163,,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|OAS1|SELE|TNF,40.88,7
"N,N,N',N'-tetrakis(2-pyridylmethyl)ethylenediamine",C044387,16858-02-9,COVID-19,MESH:D000086382,,AGT|CCL2|CCL3|CCR2|CXCL8|IL10|IL10RB|IL1B|IL2|IL6|PLSCR1|SELE|TNF|UGCG,40.62,9
"lipopolysaccharide, E. coli O26-B6",C433788,,COVID-19,MESH:D000086382,,AGT|CCL2|CCL3|CCR2|CSF3|CXCL10|CXCL8|IL10|IL1B|IL6|SELE|TNF,40.06,8
TMC 120A,C402696,,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CRP|CXCL10|IL10|IL10RB|IL1B|IL6|TNF,39.86,7
Fungal Polysaccharides,D062610,,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CXCL10|IL10|IL10RB|IL1B|IL2|IL6|IL7|TNF,39.47,7
"endotoxin, Escherichia coli",C044101,67924-63-4,COVID-19,MESH:D000086382,,AGT|CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2RA|IL6|TNF,38.98,6
"Antigens, Bacterial",D000942,,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CXCL10|CXCL8|IL10|IL10RB|IL1B|IL2RA|IL6|IL7|SELE|TNF|TYK2,38.95,7
Latex,D007840,,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL10|CXCL8|FUT2|IL10|IL1B|IL2|IL2RA|IL6|IL7|TNF,38.95,6
neoechinulin A,C490266,,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CRP|CXCL10|IL10RB|IL1B|IL6|TNF,37.55,7
Dust,D004391,,COVID-19,MESH:D000086382,,AGT|CCL2|CCL3|CRP|CSF3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|IL7|MUC1|TNF,37.41,7
3-acetyldeoxynivalenol,C043247,50722-38-8,COVID-19,MESH:D000086382,,CCL2|CSF3|CXCL8|IL10|IL1B|IL2|IL6|TNF,36.80,5
7-Ala-angiotensin (1-7),C092006,,COVID-19,MESH:D000086382,,ACE2|AGT|CCL2|CXCL8|IL10|IL1B|IL6|TNF,36.57,21
7-ketocholesterol,C003001,566-28-9,COVID-19,MESH:D000086382,,CCL2|CCL3|CSF3|CXCL10|CXCL8|IL10|IL1B|IL6|TNF,36.38,5
7-bromoindirubin-3'-oxime,C514974,,COVID-19,MESH:D000086382,,CCL2|CSF3|CXCL8|IL10|IL1B|IL2|IL6|TNF,36.34,5
Indirubin E804,C509867,,COVID-19,MESH:D000086382,,CCL2|CSF3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF,36.11,5
Mycotoxins,D009183,,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CXCL10|IL10|IL10RB|IL1B|IL6|TNF,35.84,7
Mevalonic Acid,D008798,150-97-0,COVID-19,MESH:D000086382,,AGT|CCL2|CCL3|CCR2|CRP|CXCL8|IL1B|IL6|SELE|TNF,35.82,8
Zymosan,D015054,9010-72-4,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CXCL8|IL10|IL1B|IL2|IL6|PLSCR1|SELE|TNF,35.10,7
"Antigens, Dermatophagoides",D039741,,COVID-19,MESH:D000086382,,CCL2|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|MUC1|TNF,34.99,6
Polymyxin B,D011112,1404-26-8,COVID-19,MESH:D000086382,,CCL2|CCL3|CSF3|CXCL8|IL10|IL1B|IL6|SELE|TNF,34.98,6
SB 203580,C093642,,COVID-19,MESH:D000086382,,ACE2|AGT|BSG|CCL2|CCL3|CCR2|CRP|CXCL8|IL10|IL1B|IL2|IL6|SELE|TNF,34.97,24
"6,2',4'-trimethoxyflavone",C546607,,COVID-19,MESH:D000086382,,CCL2|CSF3|CXCL8|IL10|IL1B|IL2|IL6|TNF,34.72,5
Simvastatin,D019821,79902-63-9,COVID-19,MESH:D000086382,,ACE2|AGT|CCL2|CCL3|CCR2|CRP|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|SELE|TMPRSS2|TNF,34.66,24
tamibarotene,C061133,94497-51-5,COVID-19,MESH:D000086382,,AGT|BCL11A|CSF3|CXCL10|HCK|IL10|IL10RB|IL1B|IL6|IL7|LZTFL1|OAS1|PLSCR1|TNF|UGCG,34.45,12
2'-hydroxyflavanone,C520534,,COVID-19,MESH:D000086382,,CCL2|CSF3|IL10|IL1B|IL2|IL6|TNF,34.35,5
Curcumin,D003474,458-37-7,COVID-19,MESH:D000086382,,ACE2|AGT|BSG|CCL2|CCL3|CCR2|CRP|CXCL8|HCK|IFNAR2|IL10|IL1B|IL2|IL2RA|IL6|SELE|TMPRSS2|TNF,34.08,26
Qingdai compound,C530990,,COVID-19,MESH:D000086382,,CCL2|CCL3|CSF3|CXCL8|IL10|IL1B|IL6|TNF,33.85,5
2-chloro-5-nitrobenzanilide,C457499,,COVID-19,MESH:D000086382,,AGT|BSG|CCL2|CCR2|CRP|CXCL8|IL10|IL1B|IL6|TNF,33.72,8
Perfume,D010476,,COVID-19,MESH:D000086382,,CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|IL7|TNF,33.57,5
Ethionamide,D005000,536-33-4,COVID-19,MESH:D000086382,,ACE2|CCL2|CXCL10|IL10|IL1B|IL6|TNF,33.45,20
"Toluene 2,4-Diisocyanate",D014051,584-84-9,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|IL7|TNF,33.39,6
cladosporin,C000488,,COVID-19,MESH:D000086382,,CCL3|CCR2|CXCL10|IL10|IL10RB|IL1B|IL6|TNF,33.37,7
Perindopril,D020913,82834-16-0,COVID-19,MESH:D000086382,,ACE2|AGT|CCL2|CCL3|CCR2|IL10|IL1B|IL6|TNF,33.37,22
Dinitrofluorobenzene,D004139,70-34-8,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CXCL10|CXCL8|IL10|IL2|IL6|TNF,33.28,6
Naproxen,D009288,22204-53-1,COVID-19,MESH:D000086382,,ACE2|CCL2|CCL3|CXCL10|IL10|IL1B|IL2|IL6|SELE|TMPRSS2|TNF,33.02,22
Croton Oil,D003436,8001-28-3,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CXCL8|IL1B|IL2RA|IL6|IL7|TNF,32.81,6
Aluminum Hydroxide,D000536,21645-51-2,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL10|CXCL8|IL1B|IL2|IL6|TNF,32.64,5
"Vaccines, Virus-Like Particle",D058425,,COVID-19,MESH:D000086382,,CXCL8|IL10|IL1B|IL2|IL6|TNF,32.58,5
2-anisidine,C003898,90-04-0,COVID-19,MESH:D000086382,,CCL3|CSF3|CXCL8|IL1B|IL2|IL2RA|IL6|SELE|TNF,32.54,6
tin protoporphyrin IX,C032628,,COVID-19,MESH:D000086382,,AGT|CCL2|CRP|CXCL8|IL10|IL1B|IL6|TNF,32.50,6
Dinoprostone,D015232,363-24-6,COVID-19,MESH:D000086382,,AGT|CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|MUC1|TNF,32.42,7
Telmisartan,D000077333,,COVID-19,MESH:D000086382,,ACE2|AGT|CCL2|CCR2|CRP|CXCL8|IL10|IL1B|IL6|TNF,32.34,22
cordycepin,C058120,73-03-0,COVID-19,MESH:D000086382,,AGT|BSG|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|TNF,32.19,7
diminazene aceturate,C003915,908-54-3,COVID-19,MESH:D000086382,,ACE2|AGT|CCL2|CXCL8|IL1B|IL6|TNF,32.18,21
Rolipram,D020889,61413-54-5,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL10|IL10|IL1B|IL6|SELE|TNF,32.09,6
Dermatophagoides pteronyssinus antigen p 1,C451162,,COVID-19,MESH:D000086382,,CCL2|CXCL10|CXCL8|IL2|IL6|TNF,32.07,5
"3,4-dihydroxybenzohydroxamic acid",C035419,69839-83-4,COVID-19,MESH:D000086382,,CCL2|CCL3|CSF3|CXCL10|IL10|IL6|TNF,31.95,5
Agglutinins,D000373,,COVID-19,MESH:D000086382,,CXCL8|IL10|IL1B|IL6|TNF,31.89,5
4-phenylenediamine,C029728,106-50-3,COVID-19,MESH:D000086382,,CCL2|CCR2|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF,31.61,6
4'-hydroxydiclofenac,C108036,,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL10|IL2|IL6|TNF,31.60,5
ceric oxide,C030583,1306-38-3,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CXCL10|CXCL8|IL1B|IL6|MUC1|TNF,31.45,7
pyrrolidine dithiocarbamic acid,C020972,25769-03-3,COVID-19,MESH:D000086382,,AGT|CCL2|CCL3|CXCL10|CXCL8|HCK|IL10|IL1B|IL2|IL6|TNF,31.17,7
"Adjuvants, Immunologic",D000276,,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL10|CXCL8|IL1B|IL6|TNF,31.10,5
"lipopolysaccharide, Escherichia coli O111 B4",C440499,,COVID-19,MESH:D000086382,,CCL2|CCL3|CSF3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|SELE|TNF|TYK2,31.02,7
Oxazolone,D010081,15646-46-5,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|IL7|TNF,30.96,6
Sterigmatocystin,D013241,10048-13-2,COVID-19,MESH:D000086382,,CCL3|CCR2|CRP|CXCL10|IL10|IL10RB|IL1B|IL6|TNF,30.84,7
AZD8848,C000609563,,COVID-19,MESH:D000086382,,CCL2|CRP|CXCL10|IL6|OAS1|TNF,30.78,6
FK 706,C109799,,COVID-19,MESH:D000086382,,CCL2|CSF3|CXCL8|IL1B|TNF,30.66,3
Durapatite,D017886,1306-06-5,COVID-19,MESH:D000086382,,CCL2|CCL3|IL1B|IL6|TNF,30.65,5
Trichloroacetic Acid,D014238,76-03-9,COVID-19,MESH:D000086382,,CXCL8|IL10|IL1B|IL2|IL2RA|IL6|TNF,30.53,5
astragalin,C001579,480-10-4,COVID-19,MESH:D000086382,,CCL2|CCL3|IL10|IL1B|IL6|TNF,30.39,5
emamectin benzoate,C108024,,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL10|IL1B|IL2|IL6|IL7|TNF,30.34,5
cobaltiprotoporphyrin,C007095,14325-03-2,COVID-19,MESH:D000086382,,AGT|CCL2|CRP|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF,30.17,6
Methotrexate,D008727,59-05-2,COVID-19,MESH:D000086382,,AGT|BSG|CCL2|CCL3|CCR2|CD209|CSF3|CXCL10|CXCL8|HCK|IFNAR2|IL10|IL1B|IL2|IL2RA|IL6|LZTFL1|OAS1|PLSCR1|SELE|TMPRSS4|TNF|TYK2|UGCG,30.17,15
Edaravone,D000077553,89-25-8,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CXCL8|IL10|IL1B|IL6|SELE|TNF,30.14,7
1-palmitoyl-2-(5-oxovaleroyl)-sn-glycero-3-phosphorylcholine,C400184,,COVID-19,MESH:D000086382,,CCR2|CRP|CXCL8|IL1B|SELE|TNF,30.05,6
Eicosapentaenoic Acid,D015118,1553-41-9,COVID-19,MESH:D000086382,,AGT|CCL2|CRP|IL10|IL1B|IL2|IL2RA|IL6|TNF,29.87,6
mangiferin,C013592,4773-96-0,COVID-19,MESH:D000086382,,AGT|CCL2|CSF3|CXCL8|ICAM5|IL10|IL1B|IL6|SELE|TNF,29.75,7
"2-(1-carboxy-2-(3-(3,5-dichlorobenzyl)-3H-imidazol-4-yl)ethylamino)-4-methylpentanoic acid",C486469,,COVID-19,MESH:D000086382,,ACE2|AGT|IL10|IL1B|IL6|TNF,29.71,21
caffeic acid,C040048,331-39-5,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CXCL8|IL10|IL1B|IL2|IL6|TNF,29.68,6
2-butenal,C012796,4170-30-3,COVID-19,MESH:D000086382,,AGT|CCL2|CSF3|CXCL8|IL10|IL1B|IL2|IL6|IL7|TNF,29.43,6
Isoniazid,D007538,54-85-3,COVID-19,MESH:D000086382,,ACE2|CCR2|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|MUC1|TMPRSS2|TNF,29.32,23
didecyldimethylammonium,C027118,20256-56-8,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CXCL8|IL10|IL1B|IL2RA|IL6|TNF,29.30,6
Imiquimod,D000077271,99011-02-6,COVID-19,MESH:D000086382,,CCL2|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|IL7|TNF,29.24,5
Sumatriptan,D018170,103628-46-2,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL10|IL10|IL1B|IL2|IL6|SELE|TNF,29.06,6
"enterotoxin F, Staphylococcal",C030107,,COVID-19,MESH:D000086382,,CCL3|IL1B|IL2|IL6|TNF,28.89,5
4-(3-Butoxy-4-methoxybenzyl)-2-imidazolidinone,D012368,29925-17-5,COVID-19,MESH:D000086382,,CXCL8|IL10|IL1B|IL6|TNF,28.87,5
GDC-0152,C579046,,COVID-19,MESH:D000086382,,CCL2|CRP|CXCL10|IL6|IL7|TNF,28.81,5
"Asbestos, Amphibole",D017636,,COVID-19,MESH:D000086382,,CCL3|CSF3|CXCL10|CXCL8|F8|IL10|IL1B|IL6|TNF,28.76,6
Bleomycin,D001761,11056-06-7,COVID-19,MESH:D000086382,,ACE2|CCL2|CCL3|CCR2|CSF3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|IL7|TNF|UGCG,28.70,22
3-(4-methylphenylsulfonyl)-2-propenenitrile,C434003,,COVID-19,MESH:D000086382,,AGT|CCL2|CCL3|CXCL8|IL10|IL1B|IL6|SELE|TNF,28.65,7
Fluticasone,D000068298,,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL1B|IL2|IL6|SELE|TNF,28.62,6
"enterotoxin B, staphylococcal",C031818,39424-53-8,COVID-19,MESH:D000086382,,CCL2|CCL3|CSF3|IL10|IL1B|IL2|IL6|TNF,28.48,5
4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,COVID-19,MESH:D000086382,,AGT|CCL2|CCR2|CXCL8|IL10|IL1B|IL2|IL6|TNF,28.42,7
Atorvastatin,D000069059,,COVID-19,MESH:D000086382,,ACE2|AGT|CCL2|CRP|CXCL10|CXCL8|IL1B|IL2RA|IL6|SELE|TNF,28.35,22
phthalic anhydride,C043103,85-44-9,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL10|IL2|IL6|TNF,28.27,5
"3-(2-hydroxy-4-(1,1-dimethylheptyl)phenyl)-4-(3-hydroxypropyl)cyclohexanol",C054649,83003-12-7,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL10|CXCL8|IL1B|IL2|IL6|TNF,28.23,5
BAY 11-7085,C416282,,COVID-19,MESH:D000086382,,AGT|CCL2|CXCL8|IL1B|IL6|SELE|TNF,28.21,7
2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,C093973,,COVID-19,MESH:D000086382,,ACE2|AGT|BSG|CCL2|CRP|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF,28.19,22
manganese ferrite,C551151,,COVID-19,MESH:D000086382,,CCL3|CXCL8|IL1B|IL6|TNF,28.19,5
captax,C005563,149-30-4,COVID-19,MESH:D000086382,,CCL2|CCR2|CXCL8|IL1B|IL2|IL6|TNF,28.08,6
Poly I-C,D011070,,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|OAS1|TMPRSS2|TNF,27.96,9
Nickel,D009532,7440-02-0,COVID-19,MESH:D000086382,,ACE2|AGT|BCL11A|BTK|CCL2|CCL3|CCR2|CD209|CRP|CXCL10|CXCL8|FUT2|HCK|IFNAR2|IL10|IL10RB|IL1B|IL2|IL2RA|IL6|IL7|OAS1|PLSCR1|SELE|TMPRSS2|TMPRSS4|TNF,27.68,27
rofecoxib,C116926,,COVID-19,MESH:D000086382,,AGT|CCL2|CCL3|CXCL8|IL10|IL1B|IL6|TMPRSS4|TNF,27.58,7
palmatine,C005413,3486-67-7,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL8|IL1B|IL6|TNF,27.55,5
Asbestos,D001194,1332-21-4,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CSF3|CXCL8|IL10|IL2RA|IL6|SELE|TNF,27.52,7
macrophage stimulatory lipopeptide 2,C106335,,COVID-19,MESH:D000086382,,CCL2|CXCL10|CXCL8|IL1B|IL6|TNF,27.33,5
Sulfasalazine,D012460,599-79-1,COVID-19,MESH:D000086382,,ACE2|CCL2|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|SELE|TMPRSS2|TNF,27.30,22
Dimethoate,D004117,60-51-5,COVID-19,MESH:D000086382,,CCL2|CXCL10|CXCL8|IL10|IL1B|IL6|TNF,27.12,5
ethyl 6-(N-(2-chloro-4-fluorophenyl)sulfamoyl)cyclohex-1-ene-1-carboxylate,C507035,,COVID-19,MESH:D000086382,,AGT|CCL2|CXCL10|CXCL8|IL1B|IL6|TNF,27.12,6
eriodictyol,C007619,552-58-9,COVID-19,MESH:D000086382,,CCL2|CXCL10|CXCL8|IL1B|IL6|TNF,26.91,5
"Asbestos, Serpentine",D017632,,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CD209|CSF3|CXCL10|CXCL8|ICAM5|IL10|IL1B|IL2|IL6|OAS1|TNF,26.89,8
N-(2-cyclohexyloxy-4-nitrophenyl)methanesulfonamide,C080955,123653-11-2,COVID-19,MESH:D000086382,,AGT|CCL2|CXCL10|CXCL8|IL10|IL1B|IL6|TNF,26.77,6
Ribomunyl,C034206,,COVID-19,MESH:D000086382,,IL10|IL1B|IL2|IL6|MUC1|TNF,26.71,6
chromium nicotinic acid complex,C102874,,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL6|TNF,26.69,5
4-methylesculetin,C570020,,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL2|IL6|TNF,26.58,5
Benzalkonium Compounds,D001548,,COVID-19,MESH:D000086382,,CCL2|CCL3|CSF3|CXCL10|CXCL8|HCK|IL10|IL1B|IL6|TNF,26.54,6
Pioglitazone,D000077205,111025-46-8,COVID-19,MESH:D000086382,,ACE2|AGT|BCL11A|BSG|CCL2|CCL3|CRP|CXCL8|IL10|IL1B|IL6|MUC1|SELE|TNF,26.54,23
Mycophenolic Acid,D009173,24280-93-1,COVID-19,MESH:D000086382,,AGT|CCL2|CCR2|CXCL8|IL10|IL10RB|IL2|IL6|TNF,26.49,8
Carrageenan,D002351,9000-07-1,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL8|IL10|IL1B|IL6|TNF,26.48,5
Nitrogen Dioxide,D009585,10102-44-0,COVID-19,MESH:D000086382,,CCL2|CCL3|CRP|CXCL8|IL10|IL1B|IL6|LZTFL1|TNF,26.45,7
