Phenotype Term Name,Phenotype Term ID,Disease Name,Disease ID,Chemical Inference Network,Gene Inference Network,References
reactive oxygen species biosynthetic process,GO:1903409,COVID-19,MESH:D000086382,Chloroquine|Choline|Dactinomycin|Emodin|lopinavir-ritonavir drug combination|Melatonin|Mercaptopurine|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,,43
glutathione metabolic process,GO:0006749,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine|Choline|Dactinomycin|Emodin|Melatonin|Nifedipine|Ribavirin|Sirolimus|Tenofovir|Zinc,,41
lipid catabolic process,GO:0016042,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine|chloroquine diphosphate|Choline|Ivermectin|Losartan|Melatonin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,,71
positive regulation of cell death,GO:0010942,COVID-19,MESH:D000086382,Active Hexose Correlated Compound|Betulinic Acid|Chloroquine|chloroquine diphosphate|Emodin|Melatonin|Mercaptopurine|Nifedipine|Sirolimus|Tenofovir|Zinc,,46
viral entry into host cell,GO:0046718,COVID-19,MESH:D000086382,4-(4-guanidinobenzoyloxy)phenylacetic acid|apilimod|baricitinib|camostat|Chloroquine|Hydroxychloroquine|Ivermectin|nafamostat|remdesivir|Teicoplanin,ACE2|BSG|CD209|PLSCR1,52
negative regulation of mitotic cell cycle,GO:0045930,COVID-19,MESH:D000086382,Betulinic Acid|cepharanthine|chloroquine diphosphate|Ivermectin|Melatonin|Mercaptopurine|Ribavirin|Sirolimus|Zinc|Zinc Sulfate,IL10|TNF,34
reactive oxygen species metabolic process,GO:0072593,COVID-19,MESH:D000086382,Acetazolamide|Chloroquine|Choline|Emodin|Melatonin|Nifedipine|remdesivir|Sirolimus|Zinc|Zinc Sulfate,,54
inflammatory response,GO:0006954,COVID-19,MESH:D000086382,cannabidiolic acid|Choline|Emodin|Ivermectin|Losartan|Melatonin|perfluorobutyric acid|Sirolimus|Zinc,CCL2|CCL3|CCR2|CRP|CXCL10|CXCL8|HCK|IL10RB|IL1B|IL2RA|IL6|SELE|TNF,31
viral genome replication,GO:0019079,COVID-19,MESH:D000086382,camostat|Chloroquine|Lopinavir|N(4)-hydroxycytidine|plitidepsin|remdesivir|Ribavirin|Ritonavir|Teicoplanin,CCL2|CD209,34
membrane lipid catabolic process,GO:0046466,COVID-19,MESH:D000086382,Active Hexose Correlated Compound|chloroquine diphosphate|Choline|Losartan|Melatonin|Nifedipine|Toremifene|Zinc|Zinc Sulfate,,83
glutathione biosynthetic process,GO:0006750,COVID-19,MESH:D000086382,Chloroquine|chloroquine diphosphate|Dactinomycin|Ivermectin|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate,,42
cellular calcium ion homeostasis,GO:0006874,COVID-19,MESH:D000086382,Acetazolamide|Chloroquine|chloroquine diphosphate|Choline|Emodin|Melatonin|Nifedipine|Zinc,CCL2|CCL3|CCR2,27
regulation of blood pressure,GO:0008217,COVID-19,MESH:D000086382,Chloroquine|Choline|Dactinomycin|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc,AGT,254
glutathione peroxidase activity,GO:0004602,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine|Choline|Emodin|Losartan|Melatonin|Zinc|Zinc Sulfate,,31
cell growth,GO:0016049,COVID-19,MESH:D000086382,Chloroquine|chloroquine diphosphate|Emodin|Ivermectin|Melatonin|Ribavirin|Sirolimus|Zinc Sulfate,,37
cellular response to DNA damage stimulus,GO:0006974,COVID-19,MESH:D000086382,Betulinic Acid|Dactinomycin|Losartan|Melatonin|Mercaptopurine|Sirolimus|Zinc|Zinc Sulfate,,20
viral RNA genome replication,GO:0039694,COVID-19,MESH:D000086382,"5,5'-(5,5'-((1R,2R)-1,2-dihydroxyethane-1,2-diyl)bis(1,3,4-oxadiazole-5,2-diyl))dibenzene-1,2,3-triol|Chloroquine|favipiravir|galidesivir|N(4)-hydroxycytidine|plitidepsin|remdesivir|Ribavirin",,33
superoxide dismutase activity,GO:0004784,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine|Choline|Emodin|Losartan|Melatonin|Zinc|Zinc Sulfate,,38
regulation of mitochondrial membrane potential,GO:0051881,COVID-19,MESH:D000086382,Chloroquine|Dactinomycin|Emodin|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate,,44
apoptotic DNA fragmentation,GO:0006309,COVID-19,MESH:D000086382,Chloroquine|Dactinomycin|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate,,45
lipid droplet formation,GO:0140042,COVID-19,MESH:D000086382,Azithromycin|Chloroquine|Choline|Melatonin|perfluorobutyric acid|Sirolimus|Zinc Sulfate,,27
protein oxidation,GO:0018158,COVID-19,MESH:D000086382,Choline|Dactinomycin|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate,,18
cell cycle,GO:0007049,COVID-19,MESH:D000086382,Chloroquine|Dactinomycin|Melatonin|Nifedipine|Ritonavir|Sirolimus|Toremifene,,55
autophagy,GO:0006914,COVID-19,MESH:D000086382,apilimod|Azithromycin|Chloroquine|chloroquine diphosphate|Hydroxychloroquine|Melatonin|Sirolimus,,88
leukocyte migration involved in inflammatory response,GO:0002523,COVID-19,MESH:D000086382,Betulinic Acid|Choline|Emodin|Losartan|Melatonin|Zinc,CCL2|SELE|TNF,17
vasoconstriction,GO:0042310,COVID-19,MESH:D000086382,Acetazolamide|Dactinomycin|Losartan|Melatonin|Nifedipine|Sirolimus,AGT|CRP,71
spermatogenesis,GO:0007283,COVID-19,MESH:D000086382,Choline|Emodin|Melatonin|Sirolimus|Tenofovir|Zinc,BSG|LZTFL1,17
positive regulation of apoptotic DNA fragmentation,GO:1902512,COVID-19,MESH:D000086382,Active Hexose Correlated Compound|Chloroquine|Choline|Dactinomycin|Emodin|Zinc,IL6,21
negative regulation of superoxide dismutase activity,GO:1901670,COVID-19,MESH:D000086382,Choline|Emodin|Melatonin|Tenofovir|Zinc|Zinc Sulfate,,14
lipid oxidation,GO:0034440,COVID-19,MESH:D000086382,Choline|Melatonin|Sirolimus|Tenofovir|Zinc|Zinc Sulfate,,26
mitochondrial depolarization,GO:0051882,COVID-19,MESH:D000086382,Chloroquine|chloroquine diphosphate|Emodin|Hydroxychloroquine|remdesivir|Zinc,,35
detection of oxidative stress,GO:0070994,COVID-19,MESH:D000086382,Melatonin|Nifedipine|Ritonavir|Sirolimus|Tenofovir|Zinc,,23
lactate dehydrogenase activity,GO:0004457,COVID-19,MESH:D000086382,Chloroquine|chloroquine diphosphate|Emodin|Sirolimus|Tenofovir|Zinc,,22
negative regulation of cell migration,GO:0030336,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine|Hydroxychloroquine|Ivermectin|Melatonin|selamectin,,19
positive regulation of mitochondrial membrane potential,GO:0010918,COVID-19,MESH:D000086382,Betulinic Acid|Dactinomycin|Emodin|Melatonin|Sirolimus|Zinc,,11
release of cytochrome c from mitochondria,GO:0001836,COVID-19,MESH:D000086382,Chloroquine|Emodin|Hydroxychloroquine|Melatonin|Zinc|Zinc Sulfate,,22
glutathione transferase activity,GO:0004364,COVID-19,MESH:D000086382,Betulinic Acid|Ivermectin|Melatonin|Tenofovir|Zinc|Zinc Sulfate,,16
viral process,GO:0016032,COVID-19,MESH:D000086382,4-(4-guanidinobenzoyloxy)phenylacetic acid|camostat|cannabidiolic acid|cannabigerolic acid|favipiravir|nafamostat,,5
mitotic S phase,GO:0000084,COVID-19,MESH:D000086382,Betulinic Acid|cepharanthine|Emodin|Ribavirin|Sirolimus|Zinc,,17
L-aspartate:2-oxoglutarate aminotransferase activity,GO:0004069,COVID-19,MESH:D000086382,chloroquine diphosphate|Choline|Ivermectin|Melatonin|Sirolimus|Zinc,,20
cholesterol metabolic process,GO:0008203,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine|Melatonin|perfluorobutyric acid|Ribavirin|Sirolimus,,21
ATP metabolic process,GO:0046034,COVID-19,MESH:D000086382,cannabidiolic acid|Chloroquine|Ivermectin|Melatonin|Sirolimus|Zinc,,20
cell differentiation,GO:0030154,COVID-19,MESH:D000086382,cepharanthine|Chloroquine|Dactinomycin|Melatonin|Sirolimus,BSG|HCK|TYK2|UGCG,25
positive regulation of cytosolic calcium ion concentration,GO:0007204,COVID-19,MESH:D000086382,Choline|Emodin|Ivermectin|Nifedipine|Zinc,AGT|CCL3|IL1B|IL2,17
positive regulation of cytokine production involved in inflammatory response,GO:1900017,COVID-19,MESH:D000086382,Active Hexose Correlated Compound|Chloroquine|Emodin|Hydroxychloroquine|Zinc,IL6|TNF,22
cell redox homeostasis,GO:0045454,COVID-19,MESH:D000086382,Choline|Emodin|Melatonin|Zinc|Zinc Sulfate,IL6,14
protein lipidation,GO:0006497,COVID-19,MESH:D000086382,Chloroquine|chloroquine diphosphate|Melatonin|Sirolimus|Zinc,UGCG,52
positive regulation of superoxide dismutase activity,GO:1901671,COVID-19,MESH:D000086382,Choline|Melatonin|Sirolimus|Zinc|Zinc Sulfate,TNF,15
positive regulation of protein import into nucleus,GO:0042307,COVID-19,MESH:D000086382,Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Sirolimus,IL6,18
alkaline phosphatase activity,GO:0004035,COVID-19,MESH:D000086382,Chloroquine|Hydroxychloroquine|Sirolimus|Zinc|Zinc Sulfate,,18
cellular senescence,GO:0090398,COVID-19,MESH:D000086382,Chloroquine|lopinavir-ritonavir drug combination|Nifedipine|Ritonavir|Sirolimus,,23
triglyceride biosynthetic process,GO:0019432,COVID-19,MESH:D000086382,Chloroquine|Choline|Ivermectin|Ritonavir|Sirolimus,,22
cholesterol biosynthetic process,GO:0006695,COVID-19,MESH:D000086382,Chloroquine|Choline|Ritonavir|Sirolimus|Zinc,,19
glomerular filtration,GO:0003094,COVID-19,MESH:D000086382,Acetazolamide|Chloroquine|Losartan|Nifedipine|Tenofovir,,23
apoptotic chromosome condensation,GO:0030263,COVID-19,MESH:D000086382,Chloroquine|Emodin|Melatonin|Zinc|Zinc Sulfate,,14
response to antineoplastic agent,GO:0097327,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine|Ivermectin|selamectin|Sirolimus,,15
autophagosome assembly,GO:0000045,COVID-19,MESH:D000086382,Chloroquine|chloroquine diphosphate|Melatonin|Sirolimus|Zinc Sulfate,,31
positive regulation of tumor necrosis factor production,GO:0032760,COVID-19,MESH:D000086382,Chloroquine|Hydroxychloroquine|Ribavirin|Zinc,BTK|CCL2|CCL3|CCR2|IL6|OAS1,29
glucose homeostasis,GO:0042593,COVID-19,MESH:D000086382,Choline|Melatonin|Tenofovir|Zinc,IL6|OAS1,17
phosphatidylserine exposure on apoptotic cell surface,GO:0070782,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine|Dactinomycin|Hydroxychloroquine,PLSCR1,16
protein import into nucleus,GO:0006606,COVID-19,MESH:D000086382,Chloroquine|Hydroxychloroquine|Sirolimus|Zinc,AGT,17
negative regulation of glutathione peroxidase activity,GO:1903283,COVID-19,MESH:D000086382,Emodin|Tenofovir|Zinc|Zinc Sulfate,,8
mitotic cell cycle process,GO:1903047,COVID-19,MESH:D000086382,Chloroquine|Emodin|Melatonin|Zinc,,14
positive regulation of release of cytochrome c from mitochondria,GO:0090200,COVID-19,MESH:D000086382,Choline|Dactinomycin|Emodin|Melatonin,,8
triglyceride metabolic process,GO:0006641,COVID-19,MESH:D000086382,Chloroquine|Choline|Melatonin|Sirolimus,,14
regulation of organ growth,GO:0046620,COVID-19,MESH:D000086382,Choline|Losartan|Melatonin|Nifedipine,,19
activation of protein kinase B activity,GO:0032148,COVID-19,MESH:D000086382,Choline|Ivermectin|Melatonin|Sirolimus,,13
cell chemotaxis,GO:0060326,COVID-19,MESH:D000086382,Chloroquine|Melatonin|Nifedipine|Teicoplanin,,13
superoxide anion generation,GO:0042554,COVID-19,MESH:D000086382,Chloroquine|Losartan|Melatonin|Sirolimus,,13
lipid biosynthetic process,GO:0008610,COVID-19,MESH:D000086382,Choline|Sirolimus|Zinc|Zinc Sulfate,,11
collagen fibril organization,GO:0030199,COVID-19,MESH:D000086382,Ivermectin|Losartan|Melatonin|Sirolimus,,9
adipose tissue development,GO:0060612,COVID-19,MESH:D000086382,Lopinavir|Melatonin|Ritonavir|Sirolimus,,12
cholesterol homeostasis,GO:0042632,COVID-19,MESH:D000086382,Choline|Melatonin|Tenofovir|Zinc,,13
positive regulation of urine volume,GO:0035810,COVID-19,MESH:D000086382,Acetazolamide|Chloroquine|Losartan|Nifedipine,,15
suppression of viral release by host,GO:0044790,COVID-19,MESH:D000086382,"(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide|Chloroquine|Hydroxychloroquine|Ivermectin",,15
renal sodium excretion,GO:0035812,COVID-19,MESH:D000086382,Acetazolamide|Chloroquine|Losartan|Nifedipine,,21
positive regulation of sequestering of triglyceride,GO:0010890,COVID-19,MESH:D000086382,Chloroquine|Choline|Melatonin|Sirolimus,,12
locomotion involved in locomotory behavior,GO:0031987,COVID-19,MESH:D000086382,Chloroquine|chloroquine diphosphate|Nifedipine|Zinc,,18
triglyceride homeostasis,GO:0070328,COVID-19,MESH:D000086382,Choline|Melatonin|Tenofovir|Zinc,,15
xenobiotic metabolic process,GO:0006805,COVID-19,MESH:D000086382,Emodin|Nifedipine|Ritonavir|Zinc,,14
creatinine metabolic process,GO:0046449,COVID-19,MESH:D000086382,Chloroquine|Melatonin|Ribavirin|Zinc Sulfate,,19
nitric oxide biosynthetic process,GO:0006809,COVID-19,MESH:D000086382,Chloroquine|Choline|Losartan|Melatonin,,14
bile acid metabolic process,GO:0008206,COVID-19,MESH:D000086382,Emodin|Lopinavir|Ribavirin|Zinc,,17
positive regulation of lipid storage,GO:0010884,COVID-19,MESH:D000086382,cannabidiolic acid|cannabigerolic acid|Choline|perfluorobutyric acid,,6
calcium-mediated signaling,GO:0019722,COVID-19,MESH:D000086382,Melatonin|Nifedipine|Sirolimus,BTK|CCL3|CXCL8|SELE|TNF,13
positive regulation of type II interferon production,GO:0032729,COVID-19,MESH:D000086382,2019-nCoV Vaccine mRNA-1273|BNT162 Vaccine|Ribavirin,CCR2|IL1B|IL2|TNF|TYK2,11
positive regulation of nitric oxide biosynthetic process,GO:0045429,COVID-19,MESH:D000086382,Active Hexose Correlated Compound|Melatonin|Tenofovir,AGT|CRP|IL1B|IL6|TNF,13
positive regulation of NF-kappaB transcription factor activity,GO:0051092,COVID-19,MESH:D000086382,Chloroquine|Emodin|Hydroxychloroquine,AGT|BTK|IL1B|TNF,17
positive regulation of epithelial to mesenchymal transition,GO:0010718,COVID-19,MESH:D000086382,Azithromycin|Emodin|Sirolimus,AGT|IL1B|IL6,10
positive regulation of cell migration,GO:0030335,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine|Ivermectin,CCL3|CXCL10|IL1B,13
cellular response to xenobiotic stimulus,GO:0071466,COVID-19,MESH:D000086382,Chloroquine|Choline|Ivermectin,CCL2|IL1B,13
positive regulation of NIK/NF-kappaB signaling,GO:1901224,COVID-19,MESH:D000086382,Active Hexose Correlated Compound|Melatonin|Sirolimus,IL1B|TNF,8
leukocyte tethering or rolling,GO:0050901,COVID-19,MESH:D000086382,"Heparin, Low-Molecular-Weight|Losartan|Melatonin",SELE|TNF,9
vasodilation,GO:0042311,COVID-19,MESH:D000086382,Acetazolamide|Losartan|Nifedipine,AGT|TNF,50
interleukin-6 production,GO:0032635,COVID-19,MESH:D000086382,apilimod|Chloroquine|Hydroxychloroquine,IL1B|TNF,15
glucose metabolic process,GO:0006006,COVID-19,MESH:D000086382,Melatonin|perfluorobutyric acid|Zinc,OAS1|TNF,11
leukocyte chemotaxis,GO:0030595,COVID-19,MESH:D000086382,Azithromycin|Losartan|Teicoplanin,CCL3|IL10,8
ATP hydrolysis activity,GO:0016887,COVID-19,MESH:D000086382,Chloroquine|Losartan|Sirolimus,ATP11A,10
viral translation,GO:0019081,COVID-19,MESH:D000086382,Chloroquine|galidesivir|plitidepsin,TMPRSS2,12
osteoblast differentiation,GO:0001649,COVID-19,MESH:D000086382,Chloroquine|Hydroxychloroquine|Sirolimus,CCL3,13
neutrophil homeostasis,GO:0001780,COVID-19,MESH:D000086382,apilimod|Melatonin|perfluorobutyric acid,BTK,9
regulation of heart rate,GO:0002027,COVID-19,MESH:D000086382,Losartan|Melatonin|Nifedipine,AGT,60
lysosome organization,GO:0007040,COVID-19,MESH:D000086382,apilimod|Chloroquine|chloroquine diphosphate,TMEM106B,18
eosinophil homeostasis,GO:1990959,COVID-19,MESH:D000086382,apilimod|Lopinavir|perfluorobutyric acid,BTK,10
fatty acid metabolic process,GO:0006631,COVID-19,MESH:D000086382,Choline|Hydroxychloroquine|Ribavirin,,15
negative regulation of viral process,GO:0048525,COVID-19,MESH:D000086382,favipiravir|Ivermectin|Ribavirin,,11
viral transcription,GO:0019083,COVID-19,MESH:D000086382,"5,5'-(5,5'-((1R,2R)-1,2-dihydroxyethane-1,2-diyl)bis(1,3,4-oxadiazole-5,2-diyl))dibenzene-1,2,3-triol|galidesivir|Teicoplanin",,5
negative regulation of DNA biosynthetic process,GO:2000279,COVID-19,MESH:D000086382,Lopinavir|Ribavirin|Ritonavir,,11
calcium ion import,GO:0070509,COVID-19,MESH:D000086382,cannabidiolic acid|cannabigerolic acid|Nifedipine,,9
positive regulation of autophagosome assembly,GO:2000786,COVID-19,MESH:D000086382,Chloroquine|chloroquine diphosphate|Sirolimus,,25
vacuole organization,GO:0007033,COVID-19,MESH:D000086382,Chloroquine|Sirolimus|Zinc Sulfate,,10
positive regulation of cellular senescence,GO:2000774,COVID-19,MESH:D000086382,Melatonin|Sirolimus|Tenofovir,,6
"mitochondrial electron transport, cytochrome c to oxygen",GO:0006123,COVID-19,MESH:D000086382,Choline|Ivermectin|Tenofovir,,7
regulation of cell cycle,GO:0051726,COVID-19,MESH:D000086382,Ivermectin|Lopinavir|Sirolimus,,10
mitotic G1 phase,GO:0000080,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine|Zinc,,11
positive regulation of glutathione peroxidase activity,GO:1903284,COVID-19,MESH:D000086382,Choline|Melatonin|Zinc,,12
DNA replication,GO:0006260,COVID-19,MESH:D000086382,camostat|lopinavir-ritonavir drug combination|Ritonavir,,12
positive regulation of autophagy,GO:0010508,COVID-19,MESH:D000086382,Chloroquine|chloroquine diphosphate|Sirolimus,,26
plasma membrane organization,GO:0007009,COVID-19,MESH:D000086382,Chloroquine|Mefloquine|Sirolimus,,9
protein lipidation involved in autophagosome assembly,GO:0061739,COVID-19,MESH:D000086382,Chloroquine|Hydroxychloroquine|Sirolimus,,25
sperm motility,GO:0097722,COVID-19,MESH:D000086382,Choline|Ivermectin|Melatonin,,9
autophagosome,GO:0005776,COVID-19,MESH:D000086382,Chloroquine|Melatonin|Sirolimus,,14
nucleus organization,GO:0006997,COVID-19,MESH:D000086382,Emodin|lopinavir-ritonavir drug combination|Ritonavir,,11
glutathione derivative biosynthetic process,GO:1901687,COVID-19,MESH:D000086382,Choline|Emodin|Zinc Sulfate,,6
mitochondrion organization,GO:0007005,COVID-19,MESH:D000086382,Melatonin|Sirolimus|Zinc,,9
neurotransmitter metabolic process,GO:0042133,COVID-19,MESH:D000086382,Choline|Melatonin|Zinc Sulfate,,6
eating behavior,GO:0042755,COVID-19,MESH:D000086382,4-(4-guanidinobenzoyloxy)phenylacetic acid|camostat|Choline,,5
chemical synaptic transmission,GO:0007268,COVID-19,MESH:D000086382,Acetazolamide|Mefloquine|Nifedipine,,5
viral release from host cell,GO:0019076,COVID-19,MESH:D000086382,Chloroquine|favipiravir|galidesivir,,11
negative regulation of ATP biosynthetic process,GO:2001170,COVID-19,MESH:D000086382,Choline|Ivermectin|Melatonin,,8
positive regulation of necrotic cell death,GO:0010940,COVID-19,MESH:D000086382,Choline|Emodin|Zinc,,8
autophagosome-lysosome fusion,GO:0061909,COVID-19,MESH:D000086382,Chloroquine|chloroquine diphosphate|Sirolimus,,17
exploration behavior,GO:0035640,COVID-19,MESH:D000086382,Melatonin|Zinc|Zinc Sulfate,,7
cellular zinc ion homeostasis,GO:0006882,COVID-19,MESH:D000086382,Mefloquine|Zinc|Zinc Sulfate,,12
negative regulation of mitochondrial membrane potential,GO:0010917,COVID-19,MESH:D000086382,Chloroquine|Ivermectin|Sirolimus,,11
cysteine-type endopeptidase activity,GO:0004197,COVID-19,MESH:D000086382,Betulinic Acid|Dactinomycin|remdesivir,,16
collagen biosynthetic process,GO:0032964,COVID-19,MESH:D000086382,Melatonin|Sirolimus|Zinc,,7
apoptotic nuclear changes,GO:0030262,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine|Melatonin,,11
negative regulation of flagellated sperm motility,GO:1901318,COVID-19,MESH:D000086382,Emodin|Melatonin|Tenofovir,,6
necrotic cell death,GO:0070265,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine|Zinc Sulfate,,11
import into cell,GO:0098657,COVID-19,MESH:D000086382,Chloroquine|Sirolimus|Zinc,,10
cardiac muscle cell contraction,GO:0086003,COVID-19,MESH:D000086382,Chloroquine|Nifedipine|Sirolimus,,10
viral DNA genome replication,GO:0039693,COVID-19,MESH:D000086382,Antiviral Agents|Chloroquine|Sirolimus,,10
response to virus,GO:0009615,COVID-19,MESH:D000086382,Chloroquine|chloroquine diphosphate,IFNAR2|IL1B|OAS1|TNF,16
positive regulation of interleukin-1 beta production,GO:0032731,COVID-19,MESH:D000086382,Losartan|Zinc,CCL3|IL6|TNF,10
positive regulation of heterotypic cell-cell adhesion,GO:0034116,COVID-19,MESH:D000086382,Lopinavir|Ritonavir,IL10|IL1B|TNF,8
sensory perception of pain,GO:0019233,COVID-19,MESH:D000086382,cannabidiolic acid|Zinc,CCL2|CCR2,7
positive regulation of neutrophil chemotaxis,GO:0090023,COVID-19,MESH:D000086382,apilimod|Choline,CXCL8|IL1B,7
sequestering of triglyceride,GO:0030730,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,IL1B|TNF,9
cytoplasmic vesicle,GO:0031410,COVID-19,MESH:D000086382,Chloroquine|Hydroxychloroquine,BTK|HCK,14
cognition,GO:0050890,COVID-19,MESH:D000086382,Melatonin|Sirolimus,TNF,5
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919,COVID-19,MESH:D000086382,Active Hexose Correlated Compound|Chloroquine,TNF,9
positive regulation of T-helper 1 cell cytokine production,GO:2000556,COVID-19,MESH:D000086382,Active Hexose Correlated Compound|Ribavirin,IL1B,11
negative regulation of endothelial cell proliferation,GO:0001937,COVID-19,MESH:D000086382,Lopinavir|Ritonavir,TNF,6
positive regulation of wound healing,GO:0090303,COVID-19,MESH:D000086382,Azithromycin|Zinc,CCL2,6
lysosomal lumen acidification,GO:0007042,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,TMEM106B,11
cellular response to amyloid-beta,GO:1904646,COVID-19,MESH:D000086382,cannabidiolic acid|Sirolimus,TNF,5
positive regulation of cellular extravasation,GO:0002693,COVID-19,MESH:D000086382,Choline|Zinc,CCL2,7
intracellular transport of virus,GO:0075733,COVID-19,MESH:D000086382,Chloroquine|Hydroxychloroquine,CD209,11
memory,GO:0007613,COVID-19,MESH:D000086382,Melatonin|Zinc,IL1B,7
response to toxic substance,GO:0009636,COVID-19,MESH:D000086382,Chloroquine|Losartan,CCL3,9
early endosome,GO:0005769,COVID-19,MESH:D000086382,Chloroquine|Hydroxychloroquine,ATP11A,11
lysosomal protein catabolic process,GO:1905146,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,TMEM106B,9
positive regulation of immune response,GO:0050778,COVID-19,MESH:D000086382,Active Hexose Correlated Compound|Chloroquine,IL2,9
positive regulation of protein export from nucleus,GO:0046827,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,IL1B,8
T cell homeostasis,GO:0043029,COVID-19,MESH:D000086382,apilimod|perfluorobutyric acid,IL2RA,7
negative regulation of autophagy,GO:0010507,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,IL10,13
lymphocyte activation,GO:0046649,COVID-19,MESH:D000086382,Ribavirin|Sirolimus,,12
