Gene Symbol,Gene ID,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
IL7,3574,COVID-19,MESH:D000086382,marker/mechanism,Choline|Interferon-alpha|Melatonin|Ritonavir,11.22,8
OAS1,4938,COVID-19,MESH:D000086382,marker/mechanism,chloroquine diphosphate|Interferon-alpha|Ribavirin,8.96,9
UGCG,7357,COVID-19,MESH:D000086382,marker/mechanism,"(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide|Zinc|Zinc Sulfate",7.73,4
CRP,1401,COVID-19,MESH:D000086382,marker/mechanism,acalabrutinib|Ivermectin|Melatonin|Zinc,7.71,8
MUC1,4582,COVID-19,MESH:D000086382,marker/mechanism,Chloroquine|Choline|Zinc,7.30,9
CCR2,729230,COVID-19,MESH:D000086382,marker/mechanism,Choline|Losartan|Zinc Sulfate,6.73,4
CSF3,1440,COVID-19,MESH:D000086382,marker/mechanism,Choline|Zinc|Zinc Sulfate,6.00,5
BTK,695,COVID-19,MESH:D000086382,marker/mechanism,Choline|Sirolimus,5.78,3
LZTFL1,54585,COVID-19,MESH:D000086382,marker/mechanism,Choline|Ivermectin,5.66,5
TMPRSS2,7113,COVID-19,MESH:D000086382,marker/mechanism,camostat|Choline,4.92,5
PLSCR1,5359,COVID-19,MESH:D000086382,marker/mechanism,Choline|Ivermectin,4.74,4
IL2RA,3559,COVID-19,MESH:D000086382,marker/mechanism,Sirolimus|Zinc,4.67,5
CD209,30835,COVID-19,MESH:D000086382,marker/mechanism,Zinc Sulfate,3.47,2
TMPRSS4,56649,COVID-19,MESH:D000086382,marker/mechanism,Choline,2.73,2
ICAM5,7087,COVID-19,MESH:D000086382,marker/mechanism,Choline,2.62,2
IFNAR2,3455,COVID-19,MESH:D000086382,marker/mechanism,Zinc,2.61,3
TMEM106B,54664,COVID-19,MESH:D000086382,marker/mechanism,Zinc,2.61,3
IL10RB,3588,COVID-19,MESH:D000086382,marker/mechanism,Choline,2.52,2
BCL11A,53335,COVID-19,MESH:D000086382,marker/mechanism,Choline,2.40,2
ATP11A,23250,COVID-19,MESH:D000086382,marker/mechanism,Ivermectin,2.39,3
SELE,6401,COVID-19,MESH:D000086382,marker/mechanism,Choline,2.06,2
ABO,28,COVID-19,MESH:D000086382,marker/mechanism,,,1
F8,2157,COVID-19,MESH:D000086382,marker/mechanism,,,1
FUT2,2524,COVID-19,MESH:D000086382,marker/mechanism,,,1
HCK,3055,COVID-19,MESH:D000086382,marker/mechanism,,,1
TYK2,7297,COVID-19,MESH:D000086382,marker/mechanism,,,1
ACE2,59272,COVID-19,MESH:D000086382,marker/mechanism|therapeutic,Chloroquine|Losartan|Melatonin|Sirolimus,8.90,22
BSG,682,COVID-19,MESH:D000086382,therapeutic,Ivermectin|Zinc,4.54,5
TP53,7157,COVID-19,MESH:D000086382,,Betulinic Acid|cepharanthine|Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|lopinavir-ritonavir drug combination|Losartan|Melatonin|Mercaptopurine|Nifedipine|Ribavirin|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate,28.54,27
CASP3,836,COVID-19,MESH:D000086382,,Acetazolamide|Active Hexose Correlated Compound|Betulinic Acid|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Losartan|Melatonin|Mercaptopurine|Nifedipine|remdesivir|Ribavirin|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate,25.33,37
NFKBIA,4792,COVID-19,MESH:D000086382,,Active Hexose Correlated Compound|Betulinic Acid|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Melatonin|Nifedipine|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate,25.12,21
PCNA,5111,COVID-19,MESH:D000086382,,Betulinic Acid|camostat|Chloroquine|Dactinomycin|Emodin|Ivermectin|Melatonin|perfluorobutyric acid|Ribavirin|Sirolimus|Zinc|Zinc Sulfate,24.68,22
RELA,5970,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Losartan|Melatonin|Mercaptopurine|Nifedipine|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate,23.94,23
NFKB1,4790,COVID-19,MESH:D000086382,,Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Mercaptopurine|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,23.56,16
NOS2,4843,COVID-19,MESH:D000086382,,Active Hexose Correlated Compound|apilimod|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Losartan|Melatonin|Nifedipine|perfluorobutyric acid|Sirolimus|Tenofovir|Zinc,23.15,23
CDKN1A,1026,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|Choline|Dactinomycin|Ivermectin|lopinavir-ritonavir drug combination|Losartan|Melatonin|perfluorobutyric acid|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate,22.42,25
CASP8,841,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Ribavirin|Sirolimus|Zinc|Zinc Sulfate,22.32,23
ABCB1,5243,COVID-19,MESH:D000086382,,cepharanthine|Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|Mefloquine|Melatonin|Nifedipine|Ritonavir|Sirolimus|Zinc,22.31,16
BAX,581,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Losartan|Melatonin|Mercaptopurine|Nifedipine|remdesivir|Sirolimus|Zinc|Zinc Sulfate,21.89,35
COL1A1,1277,COVID-19,MESH:D000086382,,camostat|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Ivermectin|Losartan|Mercaptopurine|Sirolimus|Zinc|Zinc Sulfate,21.59,15
HSPA5,3309,COVID-19,MESH:D000086382,,Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Nifedipine|perfluorobutyric acid|Sirolimus|Zinc,21.28,15
BCL2,596,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Mercaptopurine|Nifedipine|remdesivir|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,20.76,31
AKT1,207,COVID-19,MESH:D000086382,,Active Hexose Correlated Compound|Betulinic Acid|Chloroquine|chloroquine diphosphate|Dactinomycin|Emodin|Ivermectin|Melatonin|Nifedipine|plitidepsin|Ribavirin|Sirolimus|Zinc|Zinc Sulfate,20.53,24
GPT,2875,COVID-19,MESH:D000086382,,Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate,20.37,19
BBC3,27113,COVID-19,MESH:D000086382,,Chloroquine|Choline|Dactinomycin|Ivermectin|Melatonin|Sirolimus|Zinc|Zinc Sulfate,19.79,13
ICAM1,3383,COVID-19,MESH:D000086382,,Chloroquine|Choline|Emodin|Ivermectin|Lopinavir|Losartan|Ribavirin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,19.63,22
SERPINE1,5054,COVID-19,MESH:D000086382,,camostat|Chloroquine|Choline|Emodin|Hydroxychloroquine|Ivermectin|Losartan|perfluorobutyric acid|Sirolimus|Zinc,19.55,19
IL1A,3552,COVID-19,MESH:D000086382,,Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Ivermectin|Losartan|Melatonin|Toremifene|Zinc|Zinc Sulfate,19.51,19
CTSK,1513,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|Choline|Mercaptopurine|Sirolimus|Zinc|Zinc Sulfate,19.40,11
ACTA2,59,COVID-19,MESH:D000086382,,Azithromycin|Betulinic Acid|Chloroquine|Choline|Emodin|Ivermectin|Losartan|Melatonin|Sirolimus|Zinc,19.34,15
PARP1,142,COVID-19,MESH:D000086382,,Betulinic Acid|cepharanthine|Chloroquine|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|remdesivir|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,19.31,26
FOS,2353,COVID-19,MESH:D000086382,,Azithromycin|camostat|cannabidiolic acid|Choline|Dactinomycin|Losartan|Melatonin|Nifedipine|Ritonavir|Toremifene|Zinc|Zinc Sulfate,19.27,14
SOD2,6648,COVID-19,MESH:D000086382,,chloroquine diphosphate|Choline|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Mercaptopurine|Nifedipine|Sirolimus|Zinc|Zinc Sulfate,19.27,15
IFNG,3458,COVID-19,MESH:D000086382,,Active Hexose Correlated Compound|apilimod|Chloroquine|Choline|Dactinomycin|Losartan|Melatonin|Ribavirin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,18.97,22
SQSTM1,8878,COVID-19,MESH:D000086382,,apilimod|Chloroquine|chloroquine diphosphate|Dactinomycin|Hydroxychloroquine|Ivermectin|Melatonin|Sirolimus|Zinc|Zinc Sulfate,18.97,23
MAPT,4137,COVID-19,MESH:D000086382,,Chloroquine|Emodin|Ivermectin|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate,18.92,13
PPARG,5468,COVID-19,MESH:D000086382,,cannabidiolic acid|cannabigerolic acid|Choline|Emodin|Ivermectin|Losartan|Melatonin|perfluorobutyric acid|Ritonavir|Sirolimus|Tenofovir|Zinc,18.89,13
CYP3A4,1576,COVID-19,MESH:D000086382,,acalabrutinib|Azithromycin|Chloroquine|Dactinomycin|Emodin|Ivermectin|Lopinavir|Losartan|Mefloquine|Nifedipine|Ritonavir|Sirolimus,18.88,17
ESR1,2099,COVID-19,MESH:D000086382,,Emodin|Ivermectin|Melatonin|Mercaptopurine|Nifedipine|perfluorobutyric acid|Ritonavir|selamectin|Sirolimus|Toremifene|Zinc|Zinc Sulfate,18.80,12
TGFB1,7040,COVID-19,MESH:D000086382,,Betulinic Acid|camostat|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc,18.71,17
CCND1,595,COVID-19,MESH:D000086382,,Betulinic Acid|camostat|Choline|Dactinomycin|Ivermectin|Losartan|Melatonin|Ribavirin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,18.62,19
PPARA,5465,COVID-19,MESH:D000086382,,cannabidiolic acid|cannabigerolic acid|Choline|Ivermectin|Losartan|Melatonin|perfluorobutyric acid|Sirolimus|Zinc|Zinc Sulfate,18.16,11
CTSL,1514,COVID-19,MESH:D000086382,,Chloroquine|chloroquine diphosphate|Choline|Ivermectin|Teicoplanin|Zinc|Zinc Sulfate,18.06,17
NR1H4,9971,COVID-19,MESH:D000086382,,Dactinomycin|Emodin|Ivermectin|Nifedipine|Ritonavir|selamectin|Sirolimus|Zinc Sulfate,17.87,8
CASP7,840,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|Choline|Dactinomycin|Ivermectin|remdesivir|Ribavirin|Sirolimus|Zinc,17.83,26
GJA1,2697,COVID-19,MESH:D000086382,,Chloroquine|Choline|Dactinomycin|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate,17.77,12
SRC,6714,COVID-19,MESH:D000086382,,Choline|Emodin|Ivermectin|Nifedipine|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,17.73,10
MCL1,4170,COVID-19,MESH:D000086382,,cepharanthine|Chloroquine|Dactinomycin|Emodin|Ivermectin|Melatonin|Sirolimus|Zinc,17.69,12
CPT1A,1374,COVID-19,MESH:D000086382,,cannabidiolic acid|cannabigerolic acid|Choline|Ivermectin|Losartan|perfluorobutyric acid|Zinc|Zinc Sulfate,17.59,9
STAT3,6774,COVID-19,MESH:D000086382,,Betulinic Acid|camostat|Emodin|Ivermectin|Losartan|Melatonin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,17.52,13
HK2,3099,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|Choline|Emodin|Ivermectin|Sirolimus|Zinc Sulfate,17.40,11
BCL2L1,598,COVID-19,MESH:D000086382,,Azithromycin|Chloroquine|Choline|Dactinomycin|Melatonin|Mercaptopurine|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,17.23,14
ABCC2,1244,COVID-19,MESH:D000086382,,Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|Lopinavir|Nifedipine|perfluorobutyric acid|Sirolimus,17.17,15
CYP2D6,1565,COVID-19,MESH:D000086382,,Active Hexose Correlated Compound|Chloroquine|Emodin|Hydroxychloroquine|Ivermectin|Nifedipine|Ritonavir|Zinc,17.16,18
BECN1,8678,COVID-19,MESH:D000086382,,Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Melatonin|Sirolimus|Zinc|Zinc Sulfate,17.12,16
STAT1,6772,COVID-19,MESH:D000086382,,baricitinib|Choline|Dactinomycin|Interferon-alpha|Ivermectin|Melatonin|Zinc|Zinc Sulfate,17.12,12
HMOX1,3162,COVID-19,MESH:D000086382,,Choline|Dactinomycin|Emodin|Ivermectin|Lopinavir|Losartan|Mefloquine|Melatonin|Nifedipine|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,17.08,15
MYC,4609,COVID-19,MESH:D000086382,,Betulinic Acid|Choline|Dactinomycin|Emodin|Losartan|Nifedipine|Ribavirin|Ritonavir|Sirolimus|Zinc,17.04,14
GLB1,2720,COVID-19,MESH:D000086382,,Chloroquine|Choline|Ivermectin|lopinavir-ritonavir drug combination|Ritonavir|Sirolimus,16.97,17
VEGFA,7422,COVID-19,MESH:D000086382,,Betulinic Acid|Choline|Dactinomycin|Emodin|Losartan|Melatonin|Nifedipine|Ribavirin|Sirolimus|Zinc|Zinc Sulfate,16.97,15
APP,351,COVID-19,MESH:D000086382,,"Chloroquine|chloroquine diphosphate|Choline|Heparin, Low-Molecular-Weight|Ivermectin|Melatonin|Sirolimus|Zinc|Zinc Sulfate",16.96,19
MAP1LC3A,84557,COVID-19,MESH:D000086382,,apilimod|Chloroquine|Ivermectin|Melatonin|Sirolimus|Zinc Sulfate,16.93,12
CD36,948,COVID-19,MESH:D000086382,,Choline|Ivermectin|Losartan|Melatonin|perfluorobutyric acid|Sirolimus|Zinc|Zinc Sulfate,16.90,10
CDH1,999,COVID-19,MESH:D000086382,,Chloroquine|Choline|Emodin|Ivermectin|Losartan|selamectin|Sirolimus|Zinc|Zinc Sulfate,16.81,14
NOS3,4846,COVID-19,MESH:D000086382,,camostat|Choline|Losartan|Melatonin|Nifedipine|Ritonavir|Sirolimus|Tenofovir|Zinc,16.75,12
IL17A,3605,COVID-19,MESH:D000086382,,Active Hexose Correlated Compound|apilimod|Chloroquine|Choline|Dactinomycin|Melatonin|Sirolimus,16.69,11
CS,1431,COVID-19,MESH:D000086382,,Chloroquine|Dactinomycin|Ivermectin|Sirolimus|Zinc|Zinc Sulfate,16.67,11
PTGS2,5743,COVID-19,MESH:D000086382,,Betulinic Acid|cannabidiolic acid|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Ivermectin|Losartan|Melatonin|Nifedipine|Sirolimus|Tenofovir|Zinc,16.57,22
TIMP2,7077,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|Choline|Losartan|Melatonin|perfluorobutyric acid|Zinc,16.45,13
MAP1LC3B,81631,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|chloroquine diphosphate|Dactinomycin|Ivermectin|Melatonin|Sirolimus|Zinc,16.39,17
ALB,213,COVID-19,MESH:D000086382,,chloroquine diphosphate|Choline|Dactinomycin|Ivermectin|Losartan|Melatonin|Ritonavir|Toremifene|Zinc|Zinc Sulfate,16.16,15
IL4,3565,COVID-19,MESH:D000086382,,Active Hexose Correlated Compound|Chloroquine|Choline|Emodin|Losartan|Melatonin|Ribavirin|Sirolimus|Zinc,16.15,18
BAK1,578,COVID-19,MESH:D000086382,,Betulinic Acid|Dactinomycin|Ivermectin|Losartan|Melatonin|Ritonavir|Sirolimus,16.11,8
HIF1A,3091,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|Melatonin|Sirolimus|Zinc,16.08,13
RUNX2,860,COVID-19,MESH:D000086382,,Chloroquine|Choline|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate,15.95,12
MT2A,4502,COVID-19,MESH:D000086382,,Dactinomycin|Ivermectin|Mefloquine|Melatonin|Mercaptopurine|Zinc|Zinc Sulfate,15.93,8
MAP2K1,5604,COVID-19,MESH:D000086382,,Choline|Emodin|Ivermectin|Melatonin|Mercaptopurine|Sirolimus|Zinc Sulfate,15.91,6
LEP,3952,COVID-19,MESH:D000086382,,Chloroquine|Choline|Dactinomycin|Lopinavir|Melatonin|Ritonavir|Zinc|Zinc Sulfate,15.84,15
MTTP,4547,COVID-19,MESH:D000086382,,Chloroquine|Choline|Dactinomycin|perfluorobutyric acid|Zinc|Zinc Sulfate,15.84,11
MKI67,4288,COVID-19,MESH:D000086382,,camostat|Chloroquine|Choline|Ivermectin|Melatonin|remdesivir|Sirolimus|Zinc,15.81,25
MYH7,4625,COVID-19,MESH:D000086382,,Ivermectin|Losartan|Nifedipine|Sirolimus|Zinc|Zinc Sulfate,15.69,8
RB1,5925,COVID-19,MESH:D000086382,,Betulinic Acid|Emodin|Ivermectin|Lopinavir|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,15.58,10
JUN,3725,COVID-19,MESH:D000086382,,camostat|Choline|Dactinomycin|Hydroxychloroquine|Losartan|Melatonin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,15.55,16
CXCL1,2919,COVID-19,MESH:D000086382,,Active Hexose Correlated Compound|Choline|Emodin|Hydroxychloroquine|Losartan|perfluorobutyric acid|Ritonavir|Zinc,15.48,14
FABP5,2171,COVID-19,MESH:D000086382,,Choline|Emodin|Ivermectin|perfluorobutyric acid|Zinc|Zinc Sulfate,15.46,8
MAP2,4133,COVID-19,MESH:D000086382,,Chloroquine|Choline|Ivermectin|Melatonin|Sirolimus|Zinc,15.35,12
CYP27A1,1593,COVID-19,MESH:D000086382,,Choline|Emodin|Ivermectin|Melatonin|Sirolimus|Zinc,15.24,7
MMP9,4318,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|Choline|Dactinomycin|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate,15.22,14
CREB1,1385,COVID-19,MESH:D000086382,,Choline|Ivermectin|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate,15.19,10
TLR4,7099,COVID-19,MESH:D000086382,,Active Hexose Correlated Compound|Betulinic Acid|Chloroquine|Choline|Ivermectin|Losartan|Melatonin|Zinc,15.11,15
EDN1,1906,COVID-19,MESH:D000086382,,Choline|Dactinomycin|Ivermectin|Losartan|Nifedipine|Sirolimus|Tenofovir|Zinc,15.03,9
MMP2,4313,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|Choline|Hydroxychloroquine|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc,14.89,17
INS1,16333,COVID-19,MESH:D000086382,,Choline|Dactinomycin|Ivermectin|Melatonin|Nifedipine|Ritonavir|Sirolimus|Zinc,14.83,10
ATF4,468,COVID-19,MESH:D000086382,,Chloroquine|Dactinomycin|Ivermectin|Melatonin|perfluorobutyric acid|Sirolimus|Zinc,14.51,12
H2AX,3014,COVID-19,MESH:D000086382,,Choline|Dactinomycin|Emodin|Melatonin|remdesivir|Ribavirin|Sirolimus|Zinc,14.38,21
MAPK8,5599,COVID-19,MESH:D000086382,,Chloroquine|Choline|Ivermectin|Melatonin|plitidepsin|Sirolimus|Tenofovir|Zinc|Zinc Sulfate,14.38,15
CAT,847,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|Choline|Emodin|Ivermectin|Lopinavir|Losartan|Melatonin|Sirolimus|Tenofovir|Zinc|Zinc Sulfate,14.36,19
CASP12,100506742,COVID-19,MESH:D000086382,,Chloroquine|Choline|Emodin|Melatonin|Sirolimus|Zinc,14.34,10
CASP9,842,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate,14.27,18
GSK3B,2932,COVID-19,MESH:D000086382,,Betulinic Acid|Choline|Ivermectin|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate,14.25,10
CEBPB,1051,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|Choline|Dactinomycin|Melatonin|Zinc|Zinc Sulfate,14.16,12
DDIT3,1649,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|Choline|Emodin|Ivermectin|Melatonin|Nifedipine|Sirolimus|Zinc,14.12,14
CCNE1,898,COVID-19,MESH:D000086382,,camostat|Choline|Ivermectin|Mercaptopurine|Ribavirin|Sirolimus|Zinc,14.11,14
FAS,355,COVID-19,MESH:D000086382,,Choline|Emodin|Hydroxychloroquine|Ivermectin|Melatonin|Ribavirin|Sirolimus|Zinc,14.08,18
CYB5R3,1727,COVID-19,MESH:D000086382,,Choline|Ivermectin|N(4)-hydroxycytidine|Ritonavir|Zinc,14.06,8
CTNNB1,1499,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|Ivermectin|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate,14.03,14
HSF1,3297,COVID-19,MESH:D000086382,,Dactinomycin|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate,13.95,6
CYP2C9,1559,COVID-19,MESH:D000086382,,Emodin|Ivermectin|Losartan|Nifedipine|Ritonavir|Sirolimus|Tenofovir,13.80,8
CYP3A23-3A1,25642,COVID-19,MESH:D000086382,,Choline|Dactinomycin|Nifedipine|perfluorobutyric acid|Ritonavir|Toremifene,13.80,6
CCNA2,890,COVID-19,MESH:D000086382,,Choline|Dactinomycin|Ivermectin|Ribavirin|Ritonavir|Sirolimus|Zinc,13.75,13
ABCB11,8647,COVID-19,MESH:D000086382,,Choline|Emodin|Lopinavir|Losartan|Nifedipine|Ritonavir|Zinc Sulfate,13.74,9
ABCB1A,18671,COVID-19,MESH:D000086382,,Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|selamectin,13.69,10
GLUL,2752,COVID-19,MESH:D000086382,,Acetazolamide|Chloroquine|Choline|Ivermectin|Zinc|Zinc Sulfate,13.69,12
RAF1,5894,COVID-19,MESH:D000086382,,Choline|Dactinomycin|Emodin|Melatonin|Sirolimus|Zinc,13.66,5
CCND2,894,COVID-19,MESH:D000086382,,Acetazolamide|Choline|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,13.50,8
CTSB,1508,COVID-19,MESH:D000086382,,Azithromycin|Chloroquine|Choline|Hydroxychloroquine|Ivermectin|Melatonin,13.41,14
CCL5,6352,COVID-19,MESH:D000086382,,Chloroquine|Choline|Ivermectin|Losartan|Melatonin|Mercaptopurine|Zinc,13.39,13
EIF2S1,1965,COVID-19,MESH:D000086382,,Ivermectin|Losartan|Melatonin|Sirolimus|Tenofovir|Zinc,13.35,8
SPIRE1,56907,COVID-19,MESH:D000086382,,Choline|Ivermectin|Zinc|Zinc Sulfate,13.34,6
CADPS,8618,COVID-19,MESH:D000086382,,Choline|Ivermectin|Zinc|Zinc Sulfate,13.29,6
RO60,6738,COVID-19,MESH:D000086382,,Choline|Ivermectin|Zinc|Zinc Sulfate,13.29,6
NCF2,4688,COVID-19,MESH:D000086382,,Choline|Ivermectin|Losartan|Sirolimus|Zinc Sulfate,13.19,6
SOD1,6647,COVID-19,MESH:D000086382,,Chloroquine|Choline|Emodin|Ivermectin|Melatonin|perfluorobutyric acid|Sirolimus|Zinc|Zinc Sulfate,13.19,14
EGFR,1956,COVID-19,MESH:D000086382,,Betulinic Acid|Chloroquine|Choline|Dactinomycin|Ivermectin|Sirolimus|Zinc|Zinc Sulfate,13.17,13
OCLN,100506658,COVID-19,MESH:D000086382,,Chloroquine|Choline|Hydroxychloroquine|Melatonin|Zinc|Zinc Sulfate,13.14,15
ACOX1,51,COVID-19,MESH:D000086382,,cannabidiolic acid|cannabigerolic acid|Choline|Ivermectin|perfluorobutyric acid|Zinc,13.12,7
SLC18A2,6571,COVID-19,MESH:D000086382,,Choline|Ivermectin|Melatonin|Zinc|Zinc Sulfate,13.11,8
EIF4H,7458,COVID-19,MESH:D000086382,,Chloroquine|Choline|Ivermectin|Zinc,13.09,10
ATM,472,COVID-19,MESH:D000086382,,Chloroquine|Dactinomycin|Emodin|Melatonin|remdesivir|Zinc,13.07,20
